video_id,category_id,country,channel_id,channel_title,logged_at_initial,view_count_initial,like_count_initial,comment_count_initial,c_view_count_initial,c_subscriber_count_initial,logged_at_final,view_count_final,like_count_final,comment_count_final,c_view_count_final,c_subscriber_count_final,published_year,published_month,published_day_of_week,published_time,view_count_difference,like_count_difference,avg_view_diff_per_category,avg_likes_diff_per_category,comment_count_difference,avg_comment_diff_per_category,subscriber_count_difference,engagement_score,channel_authority
COLF6QaOjOE,22.0,unknown,UCTfFJYIR6QSoVrWBvFyPePA,Figo Facts,2025-07-24 20:19:07,64.0,0.0,0.0,11343.0,5.0,2025-07-24 21:19:23,130.0,0.0,0.0,11451.0,5.0,2025,7,Thursday,20:07:08,66.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,1.791759469228055
cQY-g01Mhlg,17.0,unknown,UCY-m6aHTtqpVWclKUOCo8ZQ,Cricket Jankari,2025-07-24 20:19:07,373.0,0.0,0.0,112498.0,301.0,2025-07-24 21:19:23,373.0,0.0,0.0,112534.0,301.0,2025,7,Thursday,19:21:29,0.0,0.0,1323.0,29.375,0.0,1.875,0.0,0.0,5.71042701737487
CYG2hb4Vq20,22.0,IN,UCcOEDV8A3yfbaTg-bB5M9Jg,भारतीय इतिहास 01,2025-07-24 20:19:07,119.0,2.0,0.0,110789.0,680.0,2025-07-24 21:19:23,538.0,2.0,0.0,110789.0,680.0,2025,7,Thursday,20:09:39,419.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,6.523562306149512
d_Q5FMBxJL0,22.0,US,UCumdn_37b-qukyL_P1EFQ8A,Feya Yoqutxon,2025-07-24 20:19:07,571.0,9.0,3.0,32552940.0,21600.0,2025-07-24 21:19:23,574.0,9.0,3.0,32552940.0,21700.0,2025,7,Thursday,19:30:57,3.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,100.0,233.33333333333334,9.980494888896912
d1bdIkeWB6w,22.0,unknown,UCTCY47UsaFDDFLdMfyJtqvg,American Collectors Insurance,2025-07-24 20:19:07,0.0,0.0,0.0,0.0,14.0,2025-07-24 21:19:23,1.0,0.0,0.0,0.0,14.0,2025,7,Thursday,19:19:30,1.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,2.70805020110221
d6gnj6rkHkY,24.0,NP,UC-FPUpCgPnDOkM_624QfimQ,𝐉𝐎𝐇𝐀𝐍 𝐋𝐈𝐁𝐄𝐑𝐓 • 눝욫,2025-07-24 20:19:07,718.0,0.0,3.0,10496683.0,26500.0,2025-07-24 21:19:23,1927.0,0.0,6.0,10724575.0,26500.0,2025,7,Thursday,19:45:35,1209.0,0.0,1079.7575757575758,31.742424242424242,3.0,1.696969696969697,0.0,0.007444168734491315,10.184937747111391
DansskMEOTM,1.0,AE,UC_LdgZiGPqhvkOlSQR1H1cA,Urdu 1 Official,2025-07-24 20:19:07,4001.0,376.0,23.0,1325230570.0,5200000.0,2025-07-24 21:19:23,5239.0,808.0,39.0,1325230570.0,5200000.0,2025,7,Thursday,19:30:31,1238.0,432.0,420.05263157894734,43.473684210526315,16.0,1.7894736842105263,0.0,0.3877221324717286,15.46416937585933
dbK2-jQRF3E,22.0,US,UCBrgvVMZ_x6jXcsUDwcMiQQ,Security Council HFY,2025-07-24 20:19:07,0.0,0.0,0.0,55142.0,1210.0,2025-07-24 21:19:23,1.0,0.0,0.0,55142.0,1210.0,2025,7,Thursday,19:18:00,1.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,7.099201743553092
dbkRsbMGuQY,10.0,CA,UCIaiXdcTFeeKL2iYULeZDGQ,The Video Store Guy 📼🎮,2025-07-24 20:19:07,30.0,1.0,1.0,723184.0,907.0,2025-07-24 21:19:23,40.0,3.0,1.0,723184.0,907.0,2025,7,Thursday,19:43:49,10.0,2.0,218.92307692307693,4.076923076923077,0.0,0.6923076923076923,0.0,0.2,6.811244378601294
dEHIkuWN2BQ,22.0,unknown,UCZ9fLqDn2gxg8iFM7qBe1pg,Ashok Deokar,2025-07-24 20:19:07,1.0,0.0,0.0,356.0,296.0,2025-07-24 21:19:23,1.0,0.0,0.0,356.0,296.0,2025,7,Thursday,19:37:01,0.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,5.6937321388027
DJyJ-l8jVp0,22.0,unknown,UCpOy249HLpHkrDuGoer-s6Q,tun kang 3 dog,2025-07-24 20:19:07,1.0,0.0,0.0,1035352.0,613.0,2025-07-24 21:19:23,9.0,0.0,0.0,1041411.0,614.0,2025,7,Thursday,19:34:29,8.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,1.0,0.875,6.419994928147142
DklImT89ouY,20.0,IN,UC4M7clnIG4qQARVgrqtVtSA,Gaming hub,2025-07-24 20:19:07,1860.0,29.0,0.0,933910.0,8530.0,2025-07-24 21:19:23,5560.0,29.0,0.0,944577.0,8530.0,2025,7,Thursday,20:07:16,3700.0,0.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,0.0,0.0,9.051461866908694
dLXg4wlgHCQ,22.0,IN,UCZjxPbi3AeB6YGKCfQ2TroQ,The Jaipur Dialogues,2025-07-24 20:19:07,2050.0,544.0,8.0,1236651361.0,1970000.0,2025-07-24 21:19:23,17468.0,3741.0,155.0,1236651361.0,1970000.0,2025,7,Thursday,20:10:06,15418.0,3197.0,1481.1782945736434,110.73643410852713,147.0,4.093023255813954,0.0,0.2359579712024906,14.493544608328255
Dov7yITEEAw,20.0,IN,UC5y2bmQ_Kz0Zw8qhTT4GkuA,1v4 Rohit,2025-07-24 20:19:07,435.0,49.0,0.0,19941089.0,101000.0,2025-07-24 21:19:23,806.0,69.0,0.0,19941089.0,101000.0,2025,7,Thursday,19:53:06,371.0,20.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,0.0,0.05390835579514825,11.522885696764481
dPOVU_8FNKw,10.0,GB,UCwE2_iia3K54OiP2da49kLw,Dreamy Blues,2025-07-24 20:19:07,0.0,0.0,0.0,1024.0,6.0,2025-07-24 21:19:23,0.0,0.0,0.0,1022.0,6.0,2025,7,Thursday,20:16:55,0.0,0.0,218.92307692307693,4.076923076923077,0.0,0.6923076923076923,0.0,0.0,1.9459101490553132
dvugyh3cDCg,22.0,unknown,UC0CLlxNN3Sk4MMw2DQbhm2Q,Funno funnu,2025-07-24 20:19:07,4261.0,666.0,2.0,2950975.0,5100.0,2025-07-24 21:19:23,5320.0,1206.0,3.0,3262991.0,5150.0,2025,7,Thursday,19:18:31,1059.0,540.0,1481.1782945736434,110.73643410852713,1.0,4.093023255813954,50.0,0.8432483474976393,8.537191877922927
e-Sq5OTbS2Y,23.0,unknown,UCDwNt788nmALQYCUXhKb-eA,NSN COMEDY ,2025-07-24 20:19:07,276.0,15.0,0.0,473497.0,1740.0,2025-07-24 21:19:23,816.0,38.0,0.0,473497.0,1740.0,2025,7,Thursday,19:53:43,540.0,23.0,1012.8636363636364,34.63636363636363,0.0,1.5,0.0,0.04259259259259259,7.462214939768189
EanRKAdMcSs,17.0,BD,UCeRYeMYCASmS9GVhom0C7Lw,Maasranga Sports,2025-07-24 20:19:07,120.0,9.0,0.0,32320751.0,202000.0,2025-07-24 21:19:23,172.0,14.0,0.0,32324934.0,202000.0,2025,7,Thursday,19:20:42,52.0,5.0,1323.0,29.375,0.0,1.875,0.0,0.09615384615384616,12.216027926866138
egkXqNOyD04,27.0,IN,UC7AJQBepI-cx3xyEFbzzSLw,Amar Shikshan gatividhi,2025-07-24 20:19:07,352.0,10.0,0.0,103784768.0,164000.0,2025-07-24 21:19:23,566.0,23.0,0.0,103871298.0,164000.0,2025,7,Thursday,19:45:14,214.0,13.0,411.4,46.8,0.0,0.7,0.0,0.06074766355140187,12.00762780434872
eiSftjOZcDo,24.0,IN,UCAo0hl4-X5ZacoG-_ejqnSg,9xAlpha Edits,2025-07-24 20:19:07,5.0,8.0,6.0,3789.0,17.0,2025-07-24 21:19:23,20.0,9.0,8.0,3789.0,17.0,2025,7,Thursday,19:53:10,15.0,1.0,1079.7575757575758,31.742424242424242,2.0,1.696969696969697,0.0,0.4666666666666667,2.8903717578961645
EjdKG2cjfg8,22.0,IN,UC9uYUJ6DhRIX6eBgUsFCCmw,Sreedevi boppana ,2025-07-24 20:19:07,359.0,3.0,0.0,1014836.0,1100.0,2025-07-24 21:19:23,359.0,5.0,0.0,1014836.0,1100.0,2025,7,Thursday,19:27:27,0.0,2.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,7.00397413672268
