iter	Passed	Remaining
536	787	197
537	787	196
538	788	194
539	788	192
540	789	191
541	789	189
542	791	188
543	791	186
544	792	184
545	792	182
546	793	181
547	793	179
548	793	177
549	794	176
550	794	174
551	795	172
552	795	171
553	795	169
554	796	167
555	796	166
556	79556	780	161
557	780	159
558	780	157
559	781	156
560	781	154
561	782	153
562	782	151
563	782	149
564	783	148
565	783	146
566	784	145
567	784	143
568	784	142
569	78570	812	143
571	812	142
572	813	140
573	814	139
574	814	137
575	815	135
576	817	134
577	817	133
578	818	131
579	818	129
580	819	128
581	819	126
582	819	125
583	819	123
584	820	121
585	820	120
586	820	118
587	820	117
588	820	115
589	821	114
590	821	112
591	822	111
592	832	110
593	832	109
594	832	107
595	832	106
596	832	104
597	833	103
598	833	101
599	833	100
600	833	98
601	834	96
602	834	95
603	834	93
604	834	92
605	838	91
606	838	89
607	848	89
608	850	87
609	850	86
610	852	85
611	852	83
612	852	82
613	852	80
614	852	79
615	853	77
616	853	76
617	853	74
618	853	73
619	854	71
620	854	70
621	855	68
622	856	67
623	856	65
624	856	64
625	856	62
626	857	61
627	857	60
628	857	58
629	857	57
630	858	55
631	858	54
632	858	52
633	858	51
634	858	50
635	859	48
636	859	47
637	865	46
638	865	44
639	865	43
640	865	41
641	865	40
642	866	39
643	866	37
644	866	36
645	867	34
646	867	33
647	867	32
648	868	30
649	868	29
650	868	28
651	872	26
652	872	25
653	872	24
654	873	22
655	873	21
656	873	19
657	874	18
658	874	17
659	874	15
660	875	14
661	875	13
662	875	11
663	875	10
664	876	9
665	876	7
666	876	6
667	876	5
668	876	3
669	877	2
670	877	1
671	877	0
	0
